address,balance,total_received,total_sent,n_tx,final_balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,label,category
1Arm1wBjDZHkAe6KmCxT49JSoGTvRUo2RM,0,24454982,24454982,14,0.0,0,14,14,5373421,3493568.8571428573,0,exchange
1ARM2Gxjd7Kor6sQ4oekXdNnpNWBAjaitf,0,1939841287,1939841287,49,0.0,0,49,50,19029369,77593651.48,0,miner
1ArogymM4KNnemnoQN32YrxRPEfkXe1Rpq,0,82570160,82570160,20,0.0,0,20,20,7731071,8257016.0,0,exchange
1ARp1C6b4wworrHspdAyunCYbUvrnZYiZf,0,1663207,1663207,33,0.0,0,33,36,11709578,92400.38888888888,0,services
1ARPm7yuSpDPhZE2NKJBypZpszr4eqYkXL,546,144050682,144050136,33,546.0,0,33,33,9818939,8730327.818181818,0,exchange
1ARrUfCrYkqHb6og9ZY3XwC4tRuY7StJ46,0,6850000,6850000,2,0.0,0,2,2,761583,6850000.0,0,exchange
1ArXFQQztvKKGu1s1aMyU8B2hnTwtGfRjg,0,788368759,788368759,138,0.0,0,138,144,54708647,10949566.097222222,0,miner
1ArXgPJ9QtZR38T9nGGhfcsAgCSR6wwPr9,546,442003276,442002730,17,546.0,0,17,19,6880127,46526631.89473684,0,exchange
1AS3ijYbNPvjmaqYNinzcAdPqK1ZehBY1A,0,546,546,2,0.0,0,2,2,761571,546.0,0,exchange
1AscbD87fYii31aByMnQamxMQsBbmcuV3H,0,14381608,14381608,2,0.0,0,2,2,761544,14381608.0,0,miner
1AsCn7ZmsdQjUGoccJos9LaEcNuJ1XNYqm,0,9336824332,9336824332,223,0.0,0,223,200,102119373,86541132.26,1,gambling
1ASEehJB1kesLE9LdmZbveMqBiQKuti2th,0,50089612,50089612,115,0.0,0,115,118,42723618,848976.4745762711,0,miner
1ASfWmURCWCxYUmx7Ck65SqeGGqzQwbhL7,0,10954100,10954100,2,0.0,0,2,2,761587,10954100.0,0,services
1ASorVw86vmuNGgHowvH78v2YUVodHWRSs,0,6508584,6508584,4,0.0,0,4,4,1520993,3254292.0,0,miner
