address,balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,total_received,total_sent,n_tx,final_balance,label,category
bc1qdncvu8nz0a27d0y6v7f66vkuynehnvc82e9vs5,3945000000,0,1,1,208904,3945000000.0,3945000000,0,1,3945000000,1,suspicious
371w8RcT3YLxAdEjHSNoqHXLWK8UKZHdqa,24293180,0,11,11,1441688,2208470.909090909,24293180,0,11,24293180,1,suspicious
bc1qzfcx7y4rr7j0txwlhpqp4l8graktpjmtxkpv43,0,0,32,32,4265572,53765261.5,860244184,860244184,32,0,1,suspicious
13tyhUHYYTJvgApieeEzEQTeus2xT44Cth,0,0,270,200,23866662,236080.79,27798491,27798491,270,0,1,suspicious
3EsxHG2uNbbRUVHB34BTW4njiLVUhW43MH,0,0,311,200,24238053,830522.43,129736726,129619936,307,116790,1,suspicious
bc1pyawqvvz8r6zfljdh6rqdz7ak4q8z8q59fkpj2fmt00djacv4gzlqawh3v2,0,0,554,217,21527213,106046.36866359448,56215596,55684596,549,531000,1,suspicious
1KKxZY5eBR1WrKnxXgAY43CMup6Dmd91oi,15419,0,44,47,3890356,575348.8723404255,8491435,8491435,10,0,1,suspicious
bc1qy5p7d56esa0ew7epr484sypvj0h7n3ncvxzdku,0,0,0,0,0,0,0,0,0,0,1,suspicious
3GMXnhNXBS8nw3xeNxQeSKjnsEXmoSFdKj,0,0,2,2,359874,3985380.0,3985380,3985380,2,0,1,suspicious
16rGyggURQvJw6RMwigDVzEGjjoCC5fZFP,0,0,3,4,481587,5890824.5,11781649,11781649,3,0,1,suspicious
13ieNCWQvvqa9jZxNd36PgdeEt9CGvihtf,0,0,14,14,2672357,23779024.42857143,166453171,166453171,14,0,1,suspicious
1CrQP2HS4QEyLvWKJgtbCDvEYF5RnQNtKw,0,0,26,26,4936169,13877984.307692308,180413796,180413796,26,0,1,suspicious
36H2moohEouaJ8RV6ymAmedghQD1EPkQaK,0,0,22,22,2769135,956755.0,10524305,10524305,22,0,1,suspicious
