address,balance,total_received,total_sent,n_tx,final_balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,label,category
129upk68UJ9X4Zb89kpLCiSthxPSwbsjUj,0,120868138,120868138,74,0,0,74,80,30581051,3021703.45,0,miner
12a5GdW5yVLZyLvwkezaVKStQtNeThPYZV,0,201986848,201986848,22,0,0,22,22,7272403,18362440.727272727,0,miner
12A6kHyHLpDuSn62w8Jc8xyu41UkQM8b1z,0,709355532,709355532,8,0,0,8,8,2617541,177338883.0,0,exchange
12A6mgDLTKWy3KJ6GqpQKeJjmLe86LP6sb,0,58000000,58000000,2,0,0,2,2,1005266,58000000.0,0,coinjoin-like
12AE3fQj1CsSGL9c3aZpkSDz991KUxntvB,1776,8424430662345,8424430660569,36730,1776,0,36730,201,64497507,877052479.3233831,0,services
12AF8AfxRNX9hRMxnPgUGmHWfcNGWBUgPf,0,878196905,878196905,24,0,0,24,26,8574636,67553608.07692307,0,exchange
12akbk7F1S6Cpoe3FCjunCtTcXEPjQpf9w,0,146531800,146531800,88,0,0,88,88,53776523,3330268.1818181816,1,gambling
12ar6hznvDPMmouanhdZUSSa3JEq5j3vHa,0,643101471,643101471,36,0,0,36,36,13985307,35727859.5,0,miner
12arNqn8jopgbtYgXgdiUTyd7B1vKPLXTL,7644,240118415040,240118407396,563,7644,0,563,200,58787655,543259830.21,0,exchange
12aU8GY7y8gVcnfb3rW39rX3239vLAX2k1,0,908756964,908756964,11,0,0,11,12,6031640,151459494.0,0,coinjoin-like
12aYNbUXcRdhS4AmCNxB89ZteWJ6Ej6UBs,0,950000,950000,2,0,0,2,2,761821,950000.0,0,services
12AYWEzWop4eMPQCJmRKpUR3oSPyUQ1xTJ,0,206779621936,206779621936,317,0,0,317,200,74272247,1604388045.67,0,miner
12aYx6GcLf2Ao2t7KpLuEecmGDydzkZrwU,0,249110,249110,18,0,0,18,18,7062141,27678.88888888889,0,miner
12aZnwXAscZeu5ensGZ9eAQDAHSagUpAu3,0,3891775055,3891775055,89,0,0,89,90,30053805,86483890.1111111,0,miner
12B1KCSVYUHmRVhr5LiJwmmTcsSK3MY8hj,0,119150489,119150489,18,0,0,18,18,6927512,13238943.222222222,0,miner
12B1WfGzxa6sgZMFSGWxLpAed4Vix6SjVh,0,6652043,6652043,20,0,0,20,20,6887230,665204.3,0,miner
12BDmjnTFq81p7mobU7NZAcu9rnagXAqLZ,0,17727715,17727715,42,0,0,42,42,16083983,844176.9047619047,0,miner
12Be6UqjhpFxysEuM3fYcoEy4JFfeEBN8B,0,47529209,47529209,8,0,0,8,8,3034338,11882302.25,0,miner
12bGCGgUqkccgnWWWW5zWhLD9AaYD5KVzg,0,93990000,93990000,4,0,0,4,4,2011156,46995000.0,0,coinjoin-like
12BGK8HT9yYi2XAZanzCnrUT6cK7LqDj6r,0,1273669365,1273669365,88,0,0,88,92,55997941,27688464.45652174,0,coinjoin-like
12bkuXqWU8EJGYWCqTq4PN4sudZeeZqnA9,0,821815,821815,2,0,0,2,2,760991,821815.0,0,miner
12BMUMiuodbUHEv6AF8jA3N8LqSRqk7BoE,0,2488822000,2488822000,2,0,0,2,2,1114857,2488822000.0,0,coinjoin-like
12BobysBhFxgSXjmKQpN3k37TQFv3SfBpJ,0,177120700000,177120700000,97,0,0,97,164,112900542,2160008536.585366,0,coinjoin-like
12brydtJjuWkCtVjk9mkPtTWBWuf2o2g78,0,218324651,218324651,20,0,0,20,20,7932240,21832465.1,0,miner
12bTCtrgV7sak1XRyDLV415Detqr9TzThh,0,510216402,510216402,379,0,0,379,201,105947766,884627.527363184,1,gambling
12BUjbQknTrAufLTh5DsPkBHTGWTHiWj2n,0,8713420651,8713420651,146,0,0,146,152,58078154,114650271.7236842,0,coinjoin-like
12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P,0,513770736094975,513770736094975,133870,0,0,133870,300,42157979,386981621.42,0,exchange
